# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  2)               |  nvidia_rc_timer_callback [nvidia]() {
  2)   0.601 us    |    os_get_current_thread [nvidia]();
  2)   0.221 us    |    os_semaphore_may_sleep [nvidia]();
  2)   0.601 us    |    os_acquire_spinlock [nvidia]();
  2)   0.210 us    |    os_get_current_thread [nvidia]();
  2)   0.251 us    |    os_get_current_tick [nvidia]();
  2)   0.211 us    |    os_release_spinlock [nvidia]();
  2)   0.270 us    |    os_mem_set [nvidia]();
  2)   0.200 us    |    os_get_cpu_number [nvidia]();
  2)   0.211 us    |    os_get_current_tick [nvidia]();
  2)   0.200 us    |    os_get_current_tick [nvidia]();
  2)   0.200 us    |    os_get_current_thread [nvidia]();
  2)   0.191 us    |    os_semaphore_may_sleep [nvidia]();
  2)   0.200 us    |    os_get_current_thread [nvidia]();
  2)   0.191 us    |    os_get_current_thread [nvidia]();
  2)   0.220 us    |    os_acquire_spinlock [nvidia]();
  2)   0.210 us    |    os_get_current_tick [nvidia]();
  2)   0.210 us    |    os_release_spinlock [nvidia]();
  2) + 38.507 us   |  }
  2)               |  nvidia_rc_timer_callback [nvidia]() {
  2)   0.621 us    |    os_get_current_thread [nvidia]();
  2)   0.220 us    |    os_semaphore_may_sleep [nvidia]();
  2)   0.570 us    |    os_acquire_spinlock [nvidia]();
  2)   0.201 us    |    os_get_current_thread [nvidia]();
  2)   0.380 us    |    os_get_current_tick [nvidia]();
  2)   0.230 us    |    os_release_spinlock [nvidia]();
  2)   0.261 us    |    os_mem_set [nvidia]();
  2)   0.241 us    |    os_get_cpu_number [nvidia]();
  2)   0.211 us    |    os_get_current_tick [nvidia]();
  2)   0.200 us    |    os_get_current_tick [nvidia]();
  2)   0.191 us    |    os_get_current_thread [nvidia]();
  2)   0.200 us    |    os_semaphore_may_sleep [nvidia]();
  2)   0.191 us    |    os_get_current_thread [nvidia]();
  2)   0.471 us    |    os_get_current_thread [nvidia]();
  2)   0.210 us    |    os_acquire_spinlock [nvidia]();
  2)   0.330 us    |    os_get_current_tick [nvidia]();
  2)   0.300 us    |    os_release_spinlock [nvidia]();
  2) + 39.319 us   |  }
  5)               |  nvidia_isr_msix [nvidia]() {
  5)               |    nvidia_isr [nvidia]() {
  5)   0.261 us    |      os_mem_set [nvidia]();
  5)   0.180 us    |      os_is_isr [nvidia]();
  5)   0.220 us    |      os_mem_set [nvidia]();
  5)   0.160 us    |      os_get_cpu_number [nvidia]();
  5)   0.191 us    |      os_get_current_tick [nvidia]();
  5)   0.200 us    |      os_get_current_tick [nvidia]();
  5)   0.190 us    |      os_get_current_thread [nvidia]();
  5)   0.160 us    |      os_get_cpu_number [nvidia]();
  5)   0.160 us    |      os_is_isr [nvidia]();
  5)               |      nv_uvm_event_interrupt [nvidia]() {
